s1,s2,label
cuenta permite hacer pedidos valide cuenta via formulario apelación,dice cuenta existe,0
cómo responder disputa escalada,cómo puedo responder disputa escalada,1
favor puede dar número mave llamar,puedo llamar,1
necesito diez artículos principales vendí 2017,sucede si artículo agotado,0
inicio sesión computadora lista deseos actualiza mismo aplicaciones,puedo encontrar pedido inicio sesión,0
uso cajero automático,puedo usar envío directo,0
enlace tienda,puede vincular agente línea,0
cómo agregarán puntos recompensa,puntos disponibles,0
sucede pedido envío indica envío cancelado,orden null pasa,0
después pago cómo informo hice voy hacer unión oeste cómo hago,cómo comienzo pago,0
pregunta complementos mostrar productos sitio web,pregunta pedido,0
significa recibo espera pago bien,significa espera recibo,1
acabo enviarte correo electrónico verifique tarjeta crédito,enviado copia tarjeta crédito cuenta identidad sucederá,1
sigo recibiendo pedidos cancelados razones seguridad,pedido cancelado razones seguridad,1
cambiado 6 7 días,pedido cambiado después pago boleto,0
gracias comentarios,gracias comentarios,1
problema pagos cuenta,problema problema envío,0
cómo usar transferencia bancaria,cuánto cuesta comisión transferencia bancaria,0
pedirle orden alguien,alguien usa dirección correo electrónico,0
olvidé contraseña solo quiero cambiarlo frecuentemente,olvidé contraseña,0
pedidos vendedores diferentes,pedidos diferentes vendedores mismos números seguimiento,0
robot,sé robot,1
puede alguien hablarme sigo cortando,sigo recibiendo error intentar pagar cosas,0
cómo hacer apelación,cómo hacer pago doku,0
cómo convertirse vendedor,cómo puedo ser elegible protección comprador,0
artículo ordené defectuoso rompió trozo auto primer uso,ordenado artículo,0
puedo abrir disputa orden sido entregada,abrí disputa recibí número pedido,0
puedo ver orden,puedo ver comentarios pedido,0
cambiar reembolso detalles tarjeta,necesito cambiar monto reembolso pedido,0
cómo cambiar moneda pkr,cómo selecciono moneda,1
demanda incluir usted sistema escribieron,sistema aceptó dirección,0
mail,correo electrónico sido pirateado,0
espera pague costos envío devolución si determinado vendedor envió artículos incorrectos,quiero devolver artículos vendedor,0
cómo encontrar número orden,cómo encontrar número orden,1
cómo recibir reembolso través boleto,quiero reembolso boleto,1
cómo reviso puntos recompensa,cómo reviso envío,0
cómo obtener número orden,cómo puedo encontrar número orden,1
puedo hacer pago través mastercard sigue mostrándome 'error sistema ' debería hacer,puedo hacer pago tarjeta crédito,1
dónde página cupón,dónde,0
rastrea progreso reembolso,puedo realizar seguimiento pedido número seguimiento,0
puedo tener atención cliente normal robot favor,sé robot,0
correo electrónico jessie chen respondido mensaje respuesta muestra imposible entregar cómo puedo ponerme contacto jessie,recibí correo electrónico diciendo mensaje pedido ninguno,0
cuida favor,favor ayúdame urgentemente,0
cómo elimino cuenta,cómo inicio sesión cuenta,0
necesito respuestas automáticas,pude averiguarlo preguntas frecuentes,0
recibí artículo enviaron reembolso cómo pago ahora,si ordeno ahora ups cuántos días vienen artículos país,0
podrías ayudar,problema orden usted podría ayudar,1
guardar detalles tarjeta,guardará cosas lista deseos,0
vendedor niega reembolsar reenviar,vendedor rechaza cancelación,0
siento demasiado hagas humano dices muchas repeticiones,hablas rápido,0
quiero pedir orden,quiero saber orden,1
jodida computadora,computadora permite escribir mensajes,0
elemnt compro,necesito factura compra,0
ayudando,hables ingles,0
puedes bailar,puedes seguirme,0
envié correo electrónico vendedor,hice pago todavía recibí confirmación correo electrónico,0
gustaría saber si posible obtener muestras pagar muestras productos comprar grandes cantidades,gustaría pagar euros,0
sneller escribe posible abrir disputa quiere,transacción completó quiero abrir disputa,0
todavía hecho reembolso,favor hagamelo saber,0
puedes encontrar numero orden,pueden ayudar encontrar cupón,0
sé cuál respuesta,vendedor responde hacer,0
puede alguien hablarme sigo cortando,intenté pagar pedido tarjeta visita sigo recibiendo rechazo,0
sucede,pasará si termina tiempo procesamiento,0
esperando respuesta,esperando respuesta reembolso,0
así puedes intentar colocar número ver color obtienes,color gusta,0
cómo encontrar número orden,cómo puedo encontrar número orden,1
cómo agregar comentarios adicionales,cómo agregar amigos tm,0
cancelado,cuándo recibiré reembolso orden cancelada,0
cómo hacer queja,cómo continúa queja,0
cómo enviar video,cómo agregar videos evidencia,1
encantado saber,placer hablar contigo,0
recibido medidores anillo pedí,pedí zapatos nike acepto,0
cómo agrego evidencia,cómo agrego carrito compras,0
cómo cambiar monedas cupón,cómo uso monedas,1
creo ordené dos veces necesito cancelar pedidos,necesito reembolsar producto ordené,0
significa envío cancelado,significa colección,0
cómo recibo reembolso vendedor aceptó,cómo recibo reembolso parte webmoney,0
dónde encuentro configuración cuenta,encontré dónde enviar comprobante pago,0
puedo acceder pedidos dispositivos móviles pc poder imprimir pedidos,puedo obtener pedidos país,0
hola quiero preguntar pedidos siendo cerrados,solo quiero decir hola,0
sido casi medio año,estafador sido eliminado,0
pedazo mierda esperanza,significa 1 pieza,0
producto llegó puedo transferir dinero vendedor,puedo transferir reembolso nuevo pedido,0
paga cancelada,cuándo pagar,0
gustaría cancelar pedido,puedo cancelar pedido si gusta,1
error traducir palabra orden inglés turco,acepto solución vendedor error,0
quiero borrar cuenta nombre je,cómo cierro sesión después usar cuenta,0
retroalimentación muestra,mostrando servicio temporal disponible,0
compré producto recibí,recibí pedido,1
posible hablar servicio cliente,cambio comentarios posible,0
si pedido muestra 'pedido cancelado ' significa,sitio web muestra pedido entregado recibí,0
hola intentado varias veces pagar cada vez llene información tarjeta haga clic pagar sitio web dice error intentado alrededor cinco veces solo dice puede haber mal información,intenté usar tarjeta pagar sigue siendo rechazada,1
hola quiero preguntar pedidos siendo cerrados,quiero pedir reembolso,0
nie conocerte,encantada conocerte,1
visto órdenes canceladas finalizadas pueden explicarme,puedo abrir disputa final,0
hola aceptas orden cancelada,aceptas tarjeta crédito,0
cómo hago pedido,cómo puedo hacer pedido tamaño específico,0
quiero agrupar proveedores país,artículos diferentes proveedores quiero hacer pago,0
necesito ayuda,necesito ayuda aquí,1
dijo detalles seguimiento disponibles 10 días,cómo sabría si número seguimiento disponible,1
envío llegó,pago llega,0
monedas agregan,regresarán monedas cancele preorden,0
puedo pedir ayuda tarjeta crédito expiró cómo puedo ingresar nueva tarjeta cuenta pagarla gustaría pedir nuevos productos posible muchas gracias,guardé tarjeta crédito necesito reemplazarla nueva,1
conversación sigue desapareciendo,vendedor envía orden,0
cómo abrir disputa,botón disputa abierta,0
necesito hablar maria,necesito hablar través livechat,1
cómo bloquear mensajes,cómo puedo recibir mensajes,0
cómo obtener factura,cómo obtengo factura pagar,1
todavía llegado,sigues ahí,0
quiero comprar varios artículos vendedor después comprar sistema cobra envío vendedor ajustará precio sistema permite hacerlo puedo ordenar artículo pagarlo tarde ayuda,puedo obtener reembolso parcial vendedor reducido precio,0
hola necesito cancelar pedido favor necesito dinero reembolsado tan pronto posible,necesito cancelar orden,1
puedo subir,puedo subir archivos adjuntos,1
cuenta refiero veo invitado puedo ver página información,dónde puedo ver centro quejas,0
recuperar monedas aplicación,cómo usar cupón aplicación móvil,0
olvidé identificación cuenta inicio sesión contraseña debo hacer,puedo iniciar sesión id,0
falló pago motivo servicio disponible actualmente sugerencia puede elegir tarjeta método pago continuar pago,siento pago exitoso deducido dinero motivo pago excedido límite crédito tarjeta crédito,0
recibí pedido necesito reembolso,recibido reembolso pedido cancelado,0
quieres ayudarme,usted podría ayudar favor,0
quieres saber cómo agregar detalles pasaporte,quiero saber cómo configurar palabra clave,0
cómo responder propuesta caso disputa,abro disputa obtengo respuesta pasa,0
dado respuesta,hice compra respondió,0
preferiría llamar,favor llámame,1
robot,quiero conectarme robot,0
entiendes número orden tomaste dinero,dinero reembolsaron menor dinero quitaron,0
nadie puede ayudar,puedes ayudar,1
significa envío cancelado,significa fob,0
traje peluca quería hicieran,traje producto confiscado autoridades aduaneras falso,0
subir video evidencia,cómo agregar video,1
cómo escanear código qr,cómo obtengo código seguridad 3d,0
agregando tarjeta crédito,funcionará tarjeta crédito visa master,0
dinero sido pagado,pagado pedido transferencia bancaria 7 días pedido sido cambiado,0
disputa proveedor forma entendernos,alguna forma pueda hacer pedido pagarlo tarjeta crédito,0
número orden,número orden,1
entiendes ayudarnos,puedes ayudarme,0
terminé disputa,quiero reembolso orden finalizada,0
cómo contactar vendedor,quiero contactar vendedor,1
puedo iniciar sesión cuentas dos cuentas contigo ambas bloqueadas,recibido paquete reembolso,0
pago,hables ingles,0
varias veces hago misma queja banco reembolso última vez ofreció verificar recibido respuesta,presenté queja cuándo responderías,0
hola eva necesito eliminar tarjeta crédito anterior registrar nueva tarjeta crédito,si utilizo tarjeta crédito segura,0
puedo responder reclamar,cuándo recibiré respuesta reclamo,0
favor pude pagar,pude hacer pago tarjeta débito visa podría ayudarme favor,1
intento ahora,trataré explicarte pregunta,0
quiero comprobar si realmente pedidos si necesito cancelar,ordené error puedo cancelarlo,1
número orden,cómo encontrar número orden,0
puedo cambiar cantidad variantes producto poder importarlo shopify,necesito cambiar monto reembolso pedido,0
respondeme pronto,confundido respuesta,0
pakistán quiero volver vender productos,quiero comprar varios productos mismo vendedor,0
problema aquí pedido recibe servicio atención cliente accesible favor ayuda,favor ayúdame obtener paquete,0
recibo pedido,tratando ordenar funcionando,0
cómo obtener cupones,artículos compra cómo obtengo cupón descuento,1
cuenta funciona,cupón funcionó,1
necesito llamar contigo,necesito número llamar hablar alguien,1
pago escribe motivos seguridad proceso puede continuar,puede escribir cuadro mensaje,0
dinero devuelto cuenta aunque disputa resolvió totalidad pasado 2 meses dinero,siento pago exitoso deducido dinero,0
hola hice pedido 20 abril,orden hecha recibido paquete,0
enviaste contraseña 4 veces aparece,insignia tarea diaria enciende,0
después hacer pedido dijeron envíos adicionales cambié dirección bueno cambié dirección pagué cargos adicionales ver,puedo cambiar dirección envío después realizar pedido,0
pedido sido enviado hace 20 días aún recibí,pagué hace 7 días pedido cambiado todavía todavía esperando pago,0
comprador niega reemplazar orden daños,quién pagará servicio protección comprador comprador,0
intento hacer seguimiento pedido veo mensaje dice información seguimiento disponible temporalmente,recibí correo electrónico diciendo mensaje pedido ninguno,0
crees español asistir eh probando,cómo piensa acerca,0
obtuve productos describe supuesto quiero subir fotos supuesto posible probé video puedo subirlo,puedo subir foto,1
pedí camino todavía después 3 semanas,acabo pedir quiero cambiar nombre receptor,0
parece puedo editar nombre asociado cuenta seguro cómo convirtió nombre diferente puedo encontrar cómo cambiarlo,cómo edito nombre contacto,1
extender tiempo entrega,debo extender pedido,0
recibido productos pedí hice pedido compañía parece conectado usted,pedido productos recibí pedido,0
cómo verificar número pedido,cómo encontrar número orden,1
hola recibido pedido,hola necesito decirte orden,0
carrito vacio,carrito dice disponible,1
orden sido cancelada,cerrado pedido,1
cómo pagar usando boleto,puedo pagar usando paypal,0
hola intento usar código descuento permite ingresar código,tratando obtener acceso cuenta permite,0
hola cuenta suspendido puedo dejar retroalimentación disputas abiertas pasa cuenta,orden congelada proveedor suspendido puedo hacer,0
orden regresa usted,cuándo devuelves fondos,0
cómo abrir disputa,sé cómo abrir disputa,1
puede ayudarme,puede alguien ayudarme,1
querida pagar gran cantidad comentarios adecuados,debo pagar alguna tarifa allá monto pedido,0
comprador niega reemplazar orden daños,cuánto membresía comprador,0
podemos crear cuenta,puedes crear cuenta,1
estúpido,tan estúpido,0
ok pedí camiseta verificó pagó vendedor cancelado pedido respondo correo preocupado,verifica pedido después pagué,0
hola buenas tardes gustaría hacer pregunta realicé pedido esperé confirmación mismo página dijo seguimiento disponible 5 10 días días pasado puedo rastrear pedido pasando,recibido pago dentro 10 días,0
pagar,quiero pagar todas órdenes juntas transacción,1
cuantos años,cómo eliminar pedidos antiguos página,0
contactar vendedor,vendedor recibido pago,0
puedo seguir orden,quería discutir orden,0
quiero cancelar,quiero cancelarlo reordenarlo,0
dónde puedo ver proveedores entregan mercancías rápido,puedo ver cupones,0
cómo cambiar contraseña,cómo puedo cambiarlo,0
intercambia monedas cupones,cómo canjeo cupones después recibir monedas,1
conéctame agente servicio cliente,favor conéctame servicio cliente,1
quiero recoger pedido carrito,quiero hacer pedido,0
cómo puedo cambiar contraseña si acceso correo electrónico,preguntas,0
vendedor responde reembolso,puedo responder reclamo,0
vivo china vivo brasil,gustaría chatear vivo,0
hola problema paquetes llegan destino envían remitente revisé dirección registré cuenta dirección correcta,problema cambiar dirección,0
echa vistazo página,página disponible,0
después disputa abierta,pasará después abrir disputa,1
orden,vendedor cancelará pedido,0
cómo enviar imágenes,cómo envío imagen vendedor,0
cómo puedo imprimir factura,puedo obtener recibo bancario nuevamente imprimí,0
necesidad persona real hablar,necesito persona real,1
pueden ustedes ayudarme,puedes ayudar,1
quiero saber acerca orden,quiero saber orden,1
tarjeta crédito contigo obtener pago instantáneo,cómo puedo pagar tarjeta crédito bienes,1
asunto enlace botón aleatorio producto hola pregunta sitio sabes realmente encanta navegar buscar cosas divertidas comprar preguntaba si planes poner botón producto aleatorio página enviarte sitio,gustaría saber botón confirmar pedido recibido,0
cómo usar cupón selección,cupón select,1
cómo pasar apelación,puedo pagar bienes pago pasa,0
cómo presento apelación,puedo presentar pruebas caso,0
recibí pedido vendedor responde,pedidos cancelado vendedor cómo puedo recuperar dinero,0
hice pedido pagué hace aproximadamente 4 horas recibido confirmación,puse orden pagué,0
necesita reembolso,necesito reembolsar producto ordené,1
cómo pongo contacto vendedor,cómo puedo contactar vendedor enviar información,1
puntos recompensa agregados,puntos,0
hablé contigo ayer,quiero follarte,0
quiero persona real amp robot,necesito persona real,1
cancelar orden después pago recibo reembolso,recibiré reembolso si cancelo orden,1
desactivar promociones,mierda entonces,0
puedo dejar comentarios,cómo dejar comentario anónimo,0
solo quiero puta contraseña,quiero restablecer contraseña correo electrónico,0
si solicito producto alemania entregado finlandia pagar aduanas impuestos,cuántas aduanas derechos importación debo pagar,1
error hice dos órdenes necesito cancelar último,necesito cancelar pedido vendedor niega cancelar,0
voy visitar china,puedo visitarte,1
pedidos cancelados terminados significa,pagado pedidos vendedores cancelado pedido,1
día va mejorar ayudando,dia mierda,0
necesito abran disputa,necesito disputa abierta opción,0
esperando disputas terminen mismo tiempo vendedor dice pagado dinero,cobrado pedido aún esperando pago,0
traté pagar pedido sistema cayó ahora dando error trato pagar muestra sistema,sistema deja pagar,1
alguien ahí hablando computadora,hablando número orden,0
hola necesito ayuda favor,necesito representante vivo favor,1
cómo cambio perfil,cómo puedo cambiar nombre perfil,1
hola ordenado artículo monto cargado dos veces,cobraron dos veces,1
numero orden,verificado problemas número pedido,1
hice par preguntas,recibido pedido vendedor responde preguntas,0
guardar tarjeta crédito,dónde cargar extracto tarjeta crédito,0
cómo confirmar orden,puedo confirmar orden recibida,0
hola pregunta sitio sabes realmente encanta navegar buscar cosas divertidas comprar pregunto si planes poner botón producto aleatorio página enviarte página azar,pregunta puedes ayudarme,0
puede enviar correo,puedo enviar productos china,0
idiota necesito eliminar eliminar apelación,puedes eliminar lista hoy,0
pagar,puedo pagar pedidos solo pago,1
cómo puedo cancelar pedido,cómo puedo pedir producto,0
entiendes número orden tomaste dinero,cómo puedes saber,0
hola puedes atender portugués,hola preguntar pedido pueden ayudar,0
pedí tarjetas pokemon allí falsas,tarjetas puedo comprar artículos,0
necesito persona real chatear,puedo chatear persona real,1
todavía recibo pedido,cómo desactivo orden aún recibida,0
cómo puedo verificar cuenta,cómo puedo encontrar pedido cuenta,0
supongo robot,persona real robot,1
cómo eliminar cuenta,cómo puedo cerrar cuenta,1
quiero pedir orden,quiero hacer pregunta,0
pasado 3 semanas presenté reclamo,cuenta sido hackeada,0
dices reembolso,hola preguntar pedido pueden ayudar,0
puede ayudarme,usted puede ayudar,1
dónde puedo encontrar comentarios,dónde puedo encontrar comprobante pago pedido,0
sentimos transacción pasó verificación debido razones seguridad transacción sido cerrada,orden cerró razones seguridad,1
pago vendedor orden nunca llega,nunca confirmo pedido recibido transacción completa,0
teléfono gratis,registrar cuenta gratis,0
monedas aplicación agregadas puedo hacer,olvidé contraseña tarjeta agregada debería hacer,0
puedo hacer pedido,puedo hacer pedido,1
reclamo posterior venta,cuál número contacto china post,0
quiero comprar,brasileño puedo comprar quiero,0
dejar comentario,puedo dejar comentarios transacción,0
cómo establecer método envío,método envío cambiado debido cambio dirección envío,0
recibí error pedido obteniendo confirmación pago exitoso,recibí ninguna confirmación después haber pagado pedido,0
puedo pagar tarjeta,dónde jack ma,0
vendedor anuncia precio incorrecto,puedo obtener reembolso parcial vendedor reducido precio,0
parte escribir código parece defectuosa,escribo queja,0
sigo recibiendo pedidos cancelados razones seguridad,intenté pagar pedido tarjeta visita sigo recibiendo rechazo,0
detener cancelación pedidos ordenado,puedo hacer si muestra aprobación espera cancelación,0
tener reembolso,pregunta reembolso,0
recibí pedido vendedor acaba decir envió quiere devolverme,vendedor enviado pedido,0
hice pago primero,hice pago parece paga,0
favor acepte tbc,aceptas tarjetas débito,0
cómo revisar comentarios,quiero revisar comentarios,1
pagué pedido varias veces,pagué pedido congelado,0
cómo avanzar búsqueda,cómo busco,0
debo cambiar motivo cancelación pedido vendedor quería aumentar precio,presento cancelación solicitud pedido vendedor denegado,0
usted computadora,humano computadora,1
cómo abrir disputa ',cómo cancelar disputa abierta,0
enlace aquí,puede vincular agente línea,0
cómo cambio perfil,cómo puedo eliminar perfil,0
quiero hablar trabajador,quiero hablar gerente,1
cómo cancelar pedido pagado,cómo puedo cancelar pedido pago,1
problema vendedor,problema inicio sesión,0
informado 3 veces,cobrado 2 veces mismo pedido,0
recibí reembolso total,recibido reembolso,0
puedo presentarle amigo,puedo ordenar teléfono,0
hola eva pago aún siendo procesado,cómo sé reembolso procesando,0
hola pregunto si sitio correcto inscribo programa afiliados confundido veo ningún lugar pueda obtener enlace publicar sitio web,autorizado ver cuenta puedo hacer,0
cómo evito vendedor envíe mensaje,cómo envío mensaje vendedor,0
cuándo puedo hablar persona real,puedo hablar persona real,1
cuenta suspendida,proveedores suspendidos mientras pagaba,0
activado tarjeta seguridad 3d,utilicé tarjeta débito fondos disponibles,0
hola necesito saber cómo enviar producto argentina través ups,necesito saber cuánto durará disputa,0
monedas agregan,puedo hacer monedas,0
método envío rápido,cómo puedo cambiar método envío,0
necesito ayuda registrar cuenta,necesito ayuda visa,0
escalar juicio ae,resultado final show ae mismo,0
cómo hacer pedido,acabo hacer pedido,0
necesito acelerar tres pedidos sido enviado dos pendientes alguna forma ayudarme,alguna forma pueda hacer pedido pagarlo tarjeta crédito,0
vivo china vivo brasil,quiero hablar persona vivo,0
ver orden,cómo averiguo si pedido sido enviado,0
tela ropa niños,quiere decir eva,0
quiero comprar tarjetas carrito compras cómo puedo hacer imprimas instrucciones favor,cómo puedo pagar productos carrito compras solo pago,0
quiero comprar,quiero comprar producto puedo agregarlo carrito,0
cómo elimino datos tarjeta crédito,quiero eliminar detalles tarjeta,1
eva quiero hablar humano,quiero obtener humanos,1
quiero vendedor ajuste precio envío necesito pedido espera reparen,necesito presupuesto,0
pasa si gusta forma ajusta vestido si tamaño incorrecto puedo devolverlo reembolso,nombre calle equivocado puedo hacer,0
devolver artículo china,cancelado orden debido comportamiento incorrecto proveedor envíe reembolso,0
cuál orden,orden,1
cómo comprobar cupón,cómo reviso cupón,1
cómo encontrar manera enviar prueba información tarjeta crédito identificación cada enlace página blanco abrumado proceso retroalimentación cada tienda requiere feliz enviar información equipo verificación pedidos,gustaría cambiar información cuenta,0
usted rechazó disputa producto mientras enviaba fotos solicitadas vendedor cómo desafiar decisión,cómo obtengo fotos número tienda,0
hice pedido pagué tarjeta crédito luego canceló vendedor aún aplicar descuento entonces vendedor aplicado descuento ahora podemos pagar ninguna tarjeta crédito aparece mensaje 'error sistema ' intente nuevo intente,alguna manera ordenar tarjeta crédito,0
número comienzo compra hice fecha 21 05 2017,sucede si fecha vencimiento tarjeta débito,0
cómo cambio perfil,cómo puedo cambiar perfil,1
ahora respuestas,puedo pagar pedido correo electrónico,0
después abrió disputa vendedor aseguró llegaría,abierto disputa ayuda,0
puedo ordenar,puedo ordenar ahora,1
puedes verificar disputa,cómo puede verificar tamaño ordenar,0
aún recibido artículo,todavía recibido artículo tiempo espera confirmación,0
hola entrada bloqueada 2 veces respondí derechos comprador violados sinceramente abrí disputa recibí mercancía ahora sido recibida,dinero ahora,0
veo dónde contactar servicio cliente,cómo pongo contacto servicio cliente,1
pedidos buenas condiciones pedidos inglés puede cambiar holandés,cómo puedo pagar pedido completo solo pago,0
debo tomar paquete solo,si devolví paquete proveedor debería extender tiempo procesamiento,0
cambiado 6 7 días,pedido sido cambiado después pago parte qiwi,0
compré producto equivocado dinero debe,ordené di dirección incorrecta,0
cómo convierto vendedor,cómo informo vendedor,0
tratando usar cupón,si quiero usar cupón,1
hola sir pregunta,respondiendo pregunta,0
recibido paquete cómo puedo saber orden,recibido orden puedo hacer,0
preguntas detalles producto,publicado serie preguntas proveedores todavía respuesta,0
modo pagar tarjeta,quiero pagar tarjeta visa problema,0
hola compras información seguimiento envío cancelado significa todavía recibiré paquete,según información seguimiento pedido entregó ee uu filipinas,0
número podría llegar,podría tener contacto,1
cómo bloquear mensajes,cómo envío mensajes vendedor,0
cómo responder propuesta caso disputa,cuál solución caso,0
d0 obtengo 20,dónde puedo obtener número seguimiento,0
tarjeta crédito contigo obtener pago instantáneo,tarjeta crédito cómo puedo pagar,0
cuenta problema,problema cuenta,1
cómo cambio dirección envío,cómo llene dirección envío,0
puedo hablarle ser humano,puedo hablar operador,1
significa orden cerrada,significa fob,0
cuenta permite hacer pedidos valide cuenta via formulario apelación,sentimos cuenta permite comprar productos internacionales línea,0
recibí productos envío rápido después ver cuenta bancaria pagué pedido dos veces,deseo información cómo enviar pedido,0
problema sistema,sistema ocupado,1
imposible unirse atención cliente contacto,soporte cliente vivo,1
recibí artículo hoy emitido reembolso cómo puedo pagar ahora,artículo enviado regreso cómo obtengo ahora,0
quiero cancelar pedido,quiero cancelar pedido error,1
pregunta respuesta,vendedor responde,0
tarjeta sigue siendo denegada cómo puedo solucionar,intenté usar tarjeta pagar sigue siendo rechazada,1
cómo puedo cambiar comentarios,cómo puedo dejar comentario,0
cómo pagar orden diaria china,cómo puedo pagar pedido,0
necesito respuestas automáticas,sé,0
cómo puedo cambiar datos tarjeta crédito,necesito cambiar detalles tarjeta crédito,1
cambiar motivo disputa,cerrado razones seguridad,0
puedes pedir solo,pedido mínimo lote solo necesito pieza,0
ahora chat yendo bien,realmente ayudaste así intentaré manera,0
compañía puso disputa reembolso todavía necesito color correcto orden compañía número orden equivocado,hice orden incorrecta,0
dónde poner número tarjeta,dónde puedo poner número seguimiento rastrear,0
problemas cancelar cuenta,problemas ser miembro intentado varias veces,0
enviado correo electrónico documentos 2 veces separado embargo cuenta verificada,intento iniciar sesión cuenta varias veces pude,0
puede favor enviarme número teléfono pueda hablar alguien 2 días solucionó problema,número teléfono contacto poder hablar persona real,1
pregunta,oh problema,1
cómo seleccionar cupón seleccionado,cómo selecciono moneda,0
india,país,1
cancelé pedido aún reembolsado dinero,cómo puedo recuperar dinero pedido cancelado,1
portugués favor,quiero cerrar debate favor vendedor bienes recibidos,0
puedo comprar carrito,puedo comprar qiwi wallet,0
diciendo solo lleva dólares,cuánto tiempo tomará si pido usted,0
intento iniciar sesión aparece bloqueado ingresa envía número teléfono nunca envía entonces cómo puse pedido,realmente ayudaste así intentaré manera,1
hola problema quiero devolver videocámara servicio garantía vendedor responde mensaje,vendedor envía artículos responde mensaje,0
orden dice corrales tinta disponibles pagué,pagué boleto parece aún pagado debo hacer,0
necesidad seleccionar mente dos veces octubre,cómo selecciono moneda,0
cómo responder disputa escalada,cómo retirar disputa escalada,0
necesito saber pedido,necesito saber cuándo pedido entregado,0
hola puedo pagar ideal,puedo pagar qiwi,0
cómo contactar servicio cliente,contactar servicio cliente,1
tela ropa niños,vamos jugar juego,0
necesito persona real chatear,puedo hablar persona real,1
dónde encuentro configuración cuenta,dónde puedo encontrar comprobante pago pedido,0
cómo cambio dirección envío,cómo puedo cambiar dirección envío,1
dónde puedo encontrar código barras,dónde puedo encontrar factura comercial,0
cómo intercambiar puntos cupón,cómo usar cupón orden,0
hago,cómo reordenar,0
usted puede ayudar,puedo acceder cuenta puedes ayudar,0
incluso informé vendedor aún efecto,todavía obtenido número pista,0
ven cama,pedido congeló orden vendrá regresará,0
cómo azar método envío,cómo elijo método envío,1
reembolso aparece s 'disputa,enlace pedido,0
cómo recibir reembolso través boleto,cómo recibo reembolso parte maestro,0
hice,sitio web muestra pedido entregado recibí,0
cómo usar cupón selección,puedo usar cupón selección,0
puedo hacer cuenta quiero rastrear paquete,quiero rastrear paquete través número seguimiento,1
satisfecho resultado disputa puedo hacer,satisfecho productos,0
tarifa envío,cuánto cuesta tarifa envío,0
quiero dinero tan pronto intente nuevo compre usted,nunca ordenaré compañía vez,0
quiero humano,necesito humano,1
sé primera vez puedes echar vistazo orden decirme terminado artículos,necesito saber si puedo recibir pedido tiempo,0
puedo escribir ingles,hables ingles,1
acercó semana pasada artículo pedí semana pasada quería cambiar,puedo cambiar apellido cuenta,0
necesito hablar servicio línea,necesito hablar alguien servicio cliente,1
enlaces funcionan necesito equipo servicio,necesito contactar equipo manejo casos,0
hice solicitud llegó vendedor contactó autorizó reembolso monto desean pagar bajo pagué pedido debería hacer,debo hacer obtener reembolso,0
estimado amigo gracias mensaje orden dispongamos reembolsarle sistema demostró usted abrió disputa podríamos reembolsarle favor preocupes permitiremos pierdas dinero podría cancelar di,podrías decirme tarjeta usé,0
favor rastrear quería reembolso,cómo realizo seguimiento pedido,1
cómo hago pedido,aceptará débito cómo puedo hacer pedido,0
placer conocerlo,buen día,0
esperando reembolso,pedido todavía esperando ser enviado,0
solo puedo hablar japonés embargo puede responder sitio traducción,hablo solo través intérprete,0
buenas tardes favor olvidé contraseña acceso sé correo electrónico realicé compra cómo hago,cómo sé si realizó pago,0
cómo convertirse vendedor,cómo puedo contactar vendedor,0
cómo cancelo pedido,cómo cancelo confirmación pedido,0
póngase contacto servicio cliente opción funciona,necesito contactar servicio cliente,1
administrar carrito compras,artículos desaparecieron carrito compras,0
quiero disputa amorosa abierta puedo,puedo llamarte,0
hola tratando pagar cosas semanas aceptará tarjeta,tratando hacer pago tarjeta crédito,1
cómo verificar número orden,cómo reviso envío pedido,0
dirección envío vendedor,puse dirección envío incorrecta,0
sir pago mano mano,puedo pagar ideal,0
sé tarjeta funciona,tarjeta crédito siendo rechazada sabes,1
asi puedo t,tan feliz hoy,0
favor puedo hablar alguien robot problema sé dos días,problema problema disputa,0
posible hablar servicio cliente,posible eliminar historial pedidos,0
quiero chatear humano real,quiero obtener humanos,1
puedo pagar ideal banco dijo malo ideal,cómo puedo cambiar correo electrónico puse correo electrónico equivocado,0
hola ayúdame posible,pude hacer pago tarjeta débito visa podría ayudarme favor,0
encuentra buen vendedor,vendedor puedo encontrarlo,0
pocas minas doy orden dé dinero mano mano,das dinero después cancelar orden,0
solicito disputa,pregunto si alguna disputa abierta solicitud,0
cuantos puedo agregar carrito compras,cuántos productos puedo agregar carrito compras,1
solo pagué mismo pedido dos veces,pagué artículos dos veces,1
puedo usarlo hice pedido puedo pagar,puedo alcanzar apoyo,0
víctima estafa,feliz,0
humano atender,necesito humano,1
olvidé contraseña correo electrónico,recibí correo electrónico nueva contraseña,0
hola intentado varias veces pagar cada vez llene información tarjeta haga clic pagar sitio web dice error intentado alrededor cinco veces solo dice puede haber mal información,intenté pagar pedido tarjeta visita sigo recibiendo rechazo,0
cambiar motivo disputa,cómo cambiar razón,0
recordatorio vendedor proporcionó dirección devolución recibirá reembolso según solicitado caso resuelto favor recibirá reembolso completo cuenta original plazo 3 20 días hábiles detalles conta,muestra pedido sido cerrado,0
disputa demora demasiado,iniciar sesión toma demasiado tiempo,0
recibido pedido ninguna conformación incluso siendo enviado,quiero saber si pedido enviado,1
nunca comprado,pagué tt escuchado,0
